,Make,Model,Year,Mileage,Transmission,Engine,Exterior Color,Interior Color,MPG,Fuel Type,Drive Type,Location (City),Location (State),Style,Condition (Accidents),Options Level,Bed Length,Price
3752,Honda,Accord,2017.0,"73,154",Automatic,2.0L Inline-4 Hybrid,White Orchid Pearl,Black,49 cty / 47 hwy,Hybrid,FWD,North Aurora,IL,Hybrid Touring Sedan,0 reported accidents,,,"19,297"
3753,Kia,Soul,2015.0,"36,344",Automatic,2.0L Inline-4 Gas,Shadow Black,Black,23 cty / 31 hwy,Gas,FWD,San Diego,CA,+ Automatic,0 reported accidents,Standard,,"9,899"
3754,Jeep Grand,Cherokee,2017.0,"20,793",Automatic,3.6L V-6 Gas,,Black,18 cty / 25 hwy,Gas,4WD,Roseville,MN,Limited 4WD,0 reported accidents,Well Equipped,,"27,413"
3755,,,,,,,,,,,,,,,,,,
3756,Chevrolet,Equinox,2018.0,"33,375",Automatic,,Cajun Red Tintcoat,Jet Black,26 cty / 32 hwy,Gas,FWD,Waco,TX,LT with 1LT FWD,0 reported accidents,Well Equipped,,"17,606"
3757,Kia,Forte,2017.0,"26,300",Automatic,2.0L Inline-4 Gas,Aurora Black,Black,29 cty / 38 hwy,Gas,FWD,Colorado Springs,CO,LX Sedan Automatic,0 reported accidents,Fully Loaded,,"11,597"
3758,Chevrolet,Traverse,2017.0,"36,142",Automatic,3.6L V-6 Gas,,Ebony/Saddle Up,15 cty / 22 hwy,Gas,FWD,Tinley Park,IL,Premier FWD,0 reported accidents,Fully Loaded,,"25,889"
3759,Ford,Fusion,2019.0,"37,831",Automatic,2.0L Inline-4 Hybrid,Gray,Unknown,43 cty / 41 hwy,Hybrid,FWD,Fort Walton Beach,FL,Hybrid SE FWD,0 reported accidents,Standard,,"16,415"
3760,Toyota,Corolla,2020.0,"19,121",Automatic,1.8L Inline-4 Gas,,Light Gray,30 cty / 38 hwy,Gas,FWD,Doral,FL,LE CVT,0 reported accidents,Standard,,"14,990"
3761,,,,,,,,,,,,,,,,,,
3762,Chevrolet,Malibu,2019.0,"31,428",Automatic,,,Jet Black,29 cty / 36 hwy,Gas,FWD,Henderson,NV,LT with 1LT,0 reported accidents,Minimal Options,,"15,498"
3763,Hyundai,Sonata,2010.0,"113,662",Automatic,2.4L Inline-4 Gas,Medium Silver Blue,Unknown,22 cty / 32 hwy,Gas,FWD,Miami,FL,GLS I4 Automatic,1 reported accidents,,,"3,490"
3764,Chevrolet,Malibu,2018.0,"29,168",Automatic,,Summit White,Jet Black,27 cty / 36 hwy,Gas,FWD,Euless,TX,LT with 1LT,0 reported accidents,Fully Loaded,,"14,981"
3765,Honda,Civic,2017.0,"59,871",Automatic,,White Orchid Pearl,Leather,31 cty / 40 hwy,Gas,FWD,Saco,ME,Touring Coupe CVT,0 reported accidents,Standard,,"16,500"
3766,Toyota,RAV4,2017.0,"31,419",Automatic,2.5L Inline-4 Gas,,Unknown,22 cty / 28 hwy,Gas,AWD,New Orleans,LA,LE AWD,0 reported accidents,,,"18,711"
3767,Volkswagen,Jetta,2017.0,"61,338",Automatic,,Silk Blue Metallic,,28 cty / 38 hwy,Gas,FWD,Baltimore,MD,1.4T S Auto,0 reported accidents,Fully Loaded,,"10,000"
3768,Jeep,Cherokee,2017.0,"28,250",Automatic,2.4L Inline-4 Gas,,Black,21 cty / 28 hwy,Gas,4WD,Glen Burnie,MD,Latitude 4WD,0 reported accidents,Standard,,"18,600"
3769,Nissan,Sentra,2019.0,"28,563",Automatic,1.8L Inline-4 Gas,Gun Metallic,Charcoal,29 cty / 37 hwy,Gas,FWD,Melbourne,FL,S CVT,0 reported accidents,Standard,,"10,988"
3770,Toyota,Camry,2017.0,"66,859",Automatic,2.5L Inline-4 Gas,Ruby Flare Pearl,Ash,24 cty / 33 hwy,Gas,FWD,Williamsburg,VA,LE I4 Automatic,0 reported accidents,,,"13,987"
3771,Ford,Fusion,2017.0,"49,885",Automatic,,White Gold,Medium Light Stone,21 cty / 32 hwy,Gas,FWD,Colorado Springs,CO,SE FWD,0 reported accidents,Standard,,"12,299"
3772,Honda,Civic,2017.0,"38,892",Automatic,2.0L Inline-4 Gas,Taffeta White,Ivory,31 cty / 40 hwy,Gas,FWD,Riverhead,NY,EX Sedan CVT,0 reported accidents,Standard,,"16,000"
3773,Mazda,Mazda6,2018.0,"37,314",Automatic,2.5L Inline-4 Gas,Blue Reflex Mica,Black,26 cty / 35 hwy,Gas,FWD,Lakewood,WA,Touring Automatic,1 reported accidents,Well Equipped,,"14,997"
3774,Cadillac,XT5,2017.0,"29,939",Automatic,3.6L V-6 Gas,,Cirrus,19 cty / 27 hwy,Gas,FWD,Lawrenceville,GA,Luxury FWD,0 reported accidents,Well Equipped,,"26,000"
3775,Lincoln Town,Car,2007.0,"89,616",Automatic,4.6L V-8 Gas,,Grey,17 cty / 25 hwy,Gas,RWD,Plano,TX,Signature Limited,0 reported accidents,Standard,,"5,780"
3776,Chevrolet,Malibu,2016.0,"34,325",Automatic,,,Jet Black,27 cty / 37 hwy,Gas,FWD,,,LT with 1LT,,Minimal Options,,"13,800"
3777,Ford,F-150,2017.0,"40,273",Automatic,2.7L V-6 Gas Turbocharged,Lithium Gray,Medium Earth Gray,17 cty / 23 hwy,Gas,4WD,Mt Pleasant,MI,XLT SuperCrew 5.5\' Box 4WD,0 reported accidents,Standard,Short Bed,"30,995"
3778,Ford,Edge,2014.0,"53,307",Automatic,3.5L V-6 Gas,,Tan,19 cty / 27 hwy,Gas,FWD,Fuquay Varina,NC,SEL FWD,1 reported accidents,Standard,,"11,500"
3779,,,,"42,439",Automatic,3.5L V-6 Gas Turbocharged,Shadow Black,,16 cty / 22 hwy,Gas,4WD,,,Sport 4WD,,Minimal Options,,
3780,MINI,Hardtop,2015.0,"46,902",Automatic,,Pepper White,Carbon Black,24 cty / 34 hwy,Gas,FWD,Boerne,TX,S Hardtop 2-Door,0 reported accidents,Standard,,"12,989"
3781,Honda,Accord,2017.0,"33,970",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Black,27 cty / 36 hwy,Gas,FWD,Birmingham,AL,EX Sedan CVT,0 reported accidents,,,"18,333"
3782,Nissan,Rogue,2017.0,"31,458",Automatic,2.5L Inline-4 Gas,Glacier White,Almond,26 cty / 33 hwy,Gas,FWD,Jacksonville,FL,S FWD,1 reported accidents,Standard,,"14,990"
3783,Nissan,LEAF,2015.0,"58,610",Automatic,L - Electric,Glacier White,Black,126 cty / 101 hwy,Electric,FWD,Des Moines,IA,S,0 reported accidents,Well Equipped,,"8,999"
3784,Mercedes-Benz,GLE,2017.0,"46,176",Automatic,3.5L V-6 Gas,,Black,18 cty / 23 hwy,Gas,AWD,Secaucus,NJ,GLE 350 4MATIC SUV,0 reported accidents,,,"28,886"
3785,Honda,Accord,2017.0,"33,450",Automatic,2.4L Inline-4 Gas,,Gray,27 cty / 36 hwy,Gas,FWD,Dublin,OH,LX Sedan CVT,0 reported accidents,Standard,,"14,997"
3786,Chevrolet,Suburban,2010.0,"172,247",Automatic,5.3L V-8 Gas,Summit White,,15 cty / 21 hwy,Gas,4WD,Collinsville,IL,LT 1500 4WD,1 reported accidents,,,"9,995"
3787,Nissan,Sentra,2019.0,"29,610",Automatic,1.8L Inline-4 Gas,Fresh Powder,Charcoal,29 cty / 37 hwy,Gas,FWD,Jackson,TN,SV CVT,0 reported accidents,Standard,,"13,944"
3788,Hyundai,Elantra,2017.0,"41,290",Automatic,2.0L Inline-4 Gas,Black Diamond,Gray,28 cty / 37 hwy,Gas,FWD,Staunton,VA,Limited 2.0L Sedan Automatic,0 reported accidents,Minimal Options,,"13,823"
3789,Ram 1500,Classic,2019.0,"24,954",Automatic,5.7L V-8 Gas,Flame Red Clearcoat,Diesel Gray/Black,15 cty / 21 hwy,Gas,4WD,Orange Park,FL,,0 reported accidents,Minimal Options,Standard Bed,"31,981"
3790,Toyota,Highlander,2017.0,"101,053",Automatic,3.5L V-6 Gas,,Black,21 cty / 27 hwy,Gas,FWD,Macon,GA,XLE V6 FWD,0 reported accidents,,,"19,500"
3791,Nissan,Frontier,2019.0,"24,278",Automatic,4.0L V-6 Gas,Gun Metallic,Steel,16 cty / 22 hwy,Gas,RWD,Columbus,TX,SV Crew Cab 2WD Automatic,0 reported accidents,Standard,Short Bed,"19,891"
3792,Ford,Fusion,2012.0,"120,752",Automatic,3.0L V-6 Gas,,Sel,23 cty / 33 hwy,Gas,FWD,Layton,UT,SEL FWD,1 reported accidents,Standard,,"6,206"
3793,Hyundai,Kona,2019.0,"17,822",Automatic,2.0L Inline-4 Gas,Sonic Silver,Black,27 cty / 33 hwy,Gas,FWD,Somersworth,NH,SE FWD Automatic,0 reported accidents,Minimal Options,,"15,888"
3794,Ford,Fusion,2019.0,"33,291",Automatic,2.0L Inline-4 Hybrid,Agate Black,Unknown,43 cty / 41 hwy,Hybrid,FWD,Sterling,VA,Hybrid SE FWD,0 reported accidents,Standard,,"16,950"
3795,Dodge Grand,Caravan,2015.0,"96,374",Automatic,3.6L V-6 Gas,,,17 cty / 25 hwy,Gas,FWD,Fort Pierce,FL,SE,0 reported accidents,Standard,,"7,450"
3796,Toyota,Corolla,2012.0,"110,000",Automatic,1.8L Inline-4 Gas,White,Unknown,26 cty / 34 hwy,Gas,FWD,Los Angeles,CA,S Automatic,0 reported accidents,Standard,,"7,612"
3797,Subaru,Legacy,2012.0,"137,357",Automatic,3.6L Flat-6 Gas,Ice Silver Metallic,Off-Black,18 cty / 25 hwy,Gas,AWD,Auburn,WA,3.6R Limited Automatic,0 reported accidents,Well Equipped,,"7,742"
3798,Dodge Grand,Caravan,2019.0,"12,021",Automatic,3.6L V-6 Gas,,Black,17 cty / 25 hwy,Gas,FWD,Ocoee,FL,SXT,0 reported accidents,,,"21,850"
3799,Volkswagen,GTI,2011.0,"112,211",Automatic,,Red,Black/Grey/Red,24 cty / 32 hwy,Gas,FWD,Los Angeles,CA,4-door DSG (PZEV),0 reported accidents,Standard,,"6,750"
3800,Chevrolet,Cavalier,2001.0,"138,969",Automatic,2.2L Inline-4 Gas,Brown,Graphite,23 cty / 32 hwy,Gas,FWD,Redmond,WA,LS Sedan,1 reported accidents,Standard,,"1,995"
3801,Volkswagen,Passat,2015.0,"93,372",Automatic,,Black,Black,30 cty / 42 hwy,Diesel,FWD,Phoenix,AZ,TDI SE with Sunroof DSG,0 reported accidents,,,"8,400"
3802,Chevrolet Express Cargo,Van,2019.0,"8,427",Automatic,6.0L V-8 Gas,Summit White,,N/A cty / N/A hwy,Gas,RWD,Crystal Lake,IL,2500 SWB,0 reported accidents,Well Equipped,,"25,173"
3803,Genesis,G80,2017.0,"29,890",Automatic,3.8L V-6 Gas,Caspian Black,Black,16 cty / 25 hwy,Gas,AWD,Vallejo,CA,3.8L AWD,0 reported accidents,Fully Loaded,,"25,998"
3804,BMW,X3,2007.0,"85,606",Automatic,3.0L Inline-6 Gas,,Black,18 cty / 26 hwy,Gas,AWD,Marietta,GA,3.0si AWD,0 reported accidents,Standard,,"7,728"
3805,Chrysler,Pacifica,2019.0,"49,015",Automatic,3.6L V-6 Gas,,Black/Alloy,19 cty / 28 hwy,Gas,FWD,Nevada,MO,Touring L,0 reported accidents,Standard,,"21,184"
3806,Audi,Q5,2018.0,"10,518",Automatic,,,Black,23 cty / 27 hwy,Gas,AWD,Lincoln,NE,Premium Plus,0 reported accidents,Well Equipped,,"31,900"
3807,Chevrolet,Impala,2010.0,"160,590",Automatic,3.5L V-6 Gas,Summit White,Ebony,18 cty / 29 hwy,Gas,FWD,Cleveland,TN,LT,0 reported accidents,,,"5,000"
3808,Nissan,Rogue,2019.0,"32,290",Automatic,2.5L Inline-4 Gas,,Charcoal,26 cty / 33 hwy,Gas,FWD,Gastonia,NC,SV FWD,0 reported accidents,Standard,,"18,800"
3809,Dodge Grand,Caravan,2019.0,"34,163",Automatic,3.6L V-6 Gas,,Black,17 cty / 25 hwy,Gas,FWD,Gastonia,NC,SXT,0 reported accidents,Minimal Options,,"18,500"
3810,Acura,RDX,2018.0,"36,366",Automatic,3.5L V-6 Gas,,Ebony,20 cty / 28 hwy,Gas,FWD,Dallas,TX,FWD with Technology Package,1 reported accidents,,,"25,634"
3811,Hyundai Santa Fe,Sport,2017.0,"35,044",Automatic,2.4L Inline-4 Gas,Marlin Blue,Beige,21 cty / 27 hwy,Gas,FWD,Oak Lawn,IL,Base 2.4L FWD,0 reported accidents,Standard,,"17,651"
3812,Toyota,Corolla,2016.0,"67,648",Automatic,1.8L Inline-4 Gas,Super White,Black,29 cty / 37 hwy,Gas,FWD,Dallas,TX,S CVT,0 reported accidents,Standard,,"12,997"
3813,Toyota,Sienna,2013.0,"91,254",Automatic,3.5L V-6 Gas,Cypress Pearl,Light Gray,18 cty / 25 hwy,Gas,FWD,Dallas,TX,XLE 8-Passenger FWD,0 reported accidents,Standard,,"15,846"
3814,,,,,,,,,,,,,,,,,,
3815,Acura,TLX,2018.0,"12,233",Automatic,3.5L V-6 Gas,,Espresso,21 cty / 30 hwy,Gas,AWD,Dallas,TX,,0 reported accidents,,,"30,583"
3816,Acura,TLX,2016.0,"96,836",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Ebony,24 cty / 35 hwy,Gas,FWD,Dallas,TX,FWD,0 reported accidents,,,"12,874"
3817,Honda,Civic,2017.0,"13,030",Automatic,2.0L Inline-4 Gas,Gray,Unknown,31 cty / 40 hwy,Gas,FWD,Glen Head,NY,EX Sedan CVT,0 reported accidents,,,
3818,Mercedes-Benz,GLC,2018.0,"22,940",Automatic,,Black,Black,22 cty / 28 hwy,Gas,RWD,Temecula,CA,GLC 300 SUV RWD,0 reported accidents,,,"33,888"
3819,Honda,Civic,2009.0,"110,936",Automatic,1.8L Inline-4 Gas,,Gray,25 cty / 36 hwy,Gas,FWD,Titusville,FL,EX Coupe Automatic,0 reported accidents,Standard,,"6,616"
3820,Ford,Mustang,2005.0,"161,552",Manual,4.0L V-6 Gas,Torch Red,Unknown,19 cty / 28 hwy,Gas,RWD,Titusville,FL,2dr Conv Deluxe,0 reported accidents,,,
3821,Audi,A4,2019.0,"9,278",Automatic,,,Black,23 cty / 34 hwy,Gas,AWD,Westmont,IL,Premium Plus 45 TFSI quattro,0 reported accidents,Well Equipped,,"35,277"
3822,GMC,Terrain,2012.0,"125,057",Automatic,3.0L V-6 Gas,,Jet Black,20 cty / 29 hwy,Gas,AWD,Westmont,IL,SLT-2 AWD,0 reported accidents,Fully Loaded,,"9,795"
3823,Honda,Accord,2017.0,"17,785",Automatic,2.4L Inline-4 Gas,Gray,Unknown,26 cty / 34 hwy,Gas,FWD,Glen Head,NY,Sport Sedan CVT,0 reported accidents,,,
3824,Toyota,Corolla,2009.0,"116,691",Automatic,1.8L Inline-4 Gas,,Dark Charcoal,27 cty / 35 hwy,Gas,FWD,Westmont,IL,S Automatic,1 reported accidents,Standard,,"6,998"
3825,Lexus,GX,2018.0,"49,128",Automatic,4.6L V-8 Gas,Nebula Gray Pearl,Black,15 cty / 18 hwy,Gas,4WD,Westmont,IL,GX 460,0 reported accidents,Standard,,"36,351"
3826,Audi,A8,2019.0,"10,237",Automatic,,,Black,19 cty / 27 hwy,Hybrid,AWD,Westmont,IL,L 3.0T,0 reported accidents,Standard,,"63,777"
3827,Honda,HR-V,2017.0,"15,920",Automatic,1.8L Inline-4 Gas,Crystal Black Pearl,Unknown,27 cty / 31 hwy,Gas,AWD,Glen Head,NY,LX AWD CVT,1 reported accidents,,,
3828,INFINITI,Q50,2015.0,"41,951",Automatic,3.5L V-6 Hybrid,Graphite Shadow,Graphite,28 cty / 35 hwy,Hybrid,AWD,Westmont,IL,Hybrid Premium AWD,0 reported accidents,,,"20,800"
3829,Ford,Focus,2015.0,"13,760",Automatic,2.0L Inline-4 Gas,Magnetic,Charcoal Black,26 cty / 36 hwy,Gas,FWD,Catonsville,MD,SE Sedan,0 reported accidents,,,
3830,Hyundai,Kona,2018.0,"18,710",Automatic,2.0L Inline-4 Gas,Thunder Gray,Black,27 cty / 33 hwy,Gas,FWD,Catonsville,MD,SE FWD Automatic,0 reported accidents,Fully Loaded,,"15,791"
3831,Nissan,Versa,2019.0,"17,282",Automatic,1.6L Inline-4 Gas,,Charcoal,31 cty / 39 hwy,Gas,FWD,Baton Rouge,LA,SV Sedan CVT,0 reported accidents,Fully Loaded,,"11,997"
3832,Honda,CR-V,2018.0,"15,994",Automatic,,White Diamond Pearl,Ivory,28 cty / 34 hwy,Gas,FWD,Baton Rouge,LA,Touring FWD,0 reported accidents,,,"27,447"
3833,Audi,Q7,2020.0,"1,902",Automatic,,,Saiga Beige,17 cty / 21 hwy,Hybrid,AWD,Baton Rouge,LA,Premium 3.0,0 reported accidents,,,"59,990"
3834,GMC Savana Cargo,Van,2019.0,"23,132",Automatic,6.0L V-8 Gas,Summit White,,N/A cty / N/A hwy,Gas,RWD,Prince George,VA,2500 SWB,0 reported accidents,Standard,,"26,374"
3835,Honda,CR-V,2017.0,"16,269",Automatic,,,Ivory,27 cty / 33 hwy,Gas,AWD,Cockeysville,MD,EX-L AWD,0 reported accidents,,,"25,478"
3836,Cadillac,ATS,2017.0,"13,227",Automatic,,,,22 cty / 30 hwy,Gas,AWD,Woodbridge,VA,Luxury Sedan 2.0T AWD,0 reported accidents,Well Equipped,,"21,000"
3837,Chevrolet,Equinox,2017.0,"1,158",Automatic,2.4L Inline-4 Gas,,Jet Black,21 cty / 31 hwy,Gas,FWD,Woodbridge,VA,LT with 1LT FWD,0 reported accidents,Well Equipped,,"17,000"
3838,Chevrolet,Malibu,2017.0,"18,833",Automatic,,Pepperdust Metallic,Jet Black,27 cty / 36 hwy,Gas,FWD,Woodbridge,VA,LT with 1LT,0 reported accidents,Minimal Options,,"17,500"
3839,Kia,Soul,2020.0,"7,684",Automatic,2.0L Inline-4 Gas,Gravity Gray,Black,27 cty / 33 hwy,Gas,FWD,Wilmington,NC,LX IVT,0 reported accidents,Minimal Options,,"16,777"
3840,Acura,RDX,2018.0,"36,366",Automatic,3.5L V-6 Gas,,Ebony,20 cty / 28 hwy,Gas,FWD,Dallas,TX,FWD with Technology Package,1 reported accidents,,,"25,634"
3841,Hyundai Santa Fe,Sport,2017.0,"35,044",Automatic,2.4L Inline-4 Gas,Marlin Blue,Beige,21 cty / 27 hwy,Gas,FWD,Oak Lawn,IL,Base 2.4L FWD,0 reported accidents,Standard,,"17,651"
3842,Toyota,Corolla,2016.0,"67,648",Automatic,1.8L Inline-4 Gas,Super White,Black,29 cty / 37 hwy,Gas,FWD,Dallas,TX,S CVT,0 reported accidents,Standard,,"12,997"
3843,Toyota,Sienna,2013.0,"91,254",Automatic,3.5L V-6 Gas,Cypress Pearl,Light Gray,18 cty / 25 hwy,Gas,FWD,Dallas,TX,XLE 8-Passenger FWD,0 reported accidents,Standard,,"15,846"
3844,,,,,,,,,,,,,,,,,,
3845,Acura,TLX,2018.0,"12,233",Automatic,3.5L V-6 Gas,,Espresso,21 cty / 30 hwy,Gas,AWD,Dallas,TX,,0 reported accidents,,,"30,583"
3846,Acura,TLX,2016.0,"96,836",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Ebony,24 cty / 35 hwy,Gas,FWD,Dallas,TX,FWD,0 reported accidents,,,"12,874"
3847,Honda,Civic,2017.0,"13,030",Automatic,2.0L Inline-4 Gas,Gray,Unknown,31 cty / 40 hwy,Gas,FWD,Glen Head,NY,EX Sedan CVT,0 reported accidents,,,
3848,Mercedes-Benz,GLC,2018.0,"22,940",Automatic,,Black,Black,22 cty / 28 hwy,Gas,RWD,Temecula,CA,GLC 300 SUV RWD,0 reported accidents,,,"33,888"
3849,Honda,Civic,2009.0,"110,936",Automatic,1.8L Inline-4 Gas,,Gray,25 cty / 36 hwy,Gas,FWD,Titusville,FL,EX Coupe Automatic,0 reported accidents,Standard,,"6,616"
3850,Ford,Mustang,2005.0,"161,552",Manual,4.0L V-6 Gas,Torch Red,Unknown,19 cty / 28 hwy,Gas,RWD,Titusville,FL,2dr Conv Deluxe,0 reported accidents,,,
3851,Audi,A4,2019.0,"9,278",Automatic,,,Black,23 cty / 34 hwy,Gas,AWD,Westmont,IL,Premium Plus 45 TFSI quattro,0 reported accidents,Well Equipped,,"35,277"
3852,GMC,Terrain,2012.0,"125,057",Automatic,3.0L V-6 Gas,,Jet Black,20 cty / 29 hwy,Gas,AWD,Westmont,IL,SLT-2 AWD,0 reported accidents,Fully Loaded,,"9,795"
3853,Honda,Accord,2017.0,"17,785",Automatic,2.4L Inline-4 Gas,Gray,Unknown,26 cty / 34 hwy,Gas,FWD,Glen Head,NY,Sport Sedan CVT,0 reported accidents,,,
3854,Toyota,Corolla,2009.0,"116,691",Automatic,1.8L Inline-4 Gas,,Dark Charcoal,27 cty / 35 hwy,Gas,FWD,Westmont,IL,S Automatic,1 reported accidents,Standard,,"6,998"
3855,Lexus,GX,2018.0,"49,128",Automatic,4.6L V-8 Gas,Nebula Gray Pearl,Black,15 cty / 18 hwy,Gas,4WD,Westmont,IL,GX 460,0 reported accidents,Standard,,"36,351"
3856,Audi,A8,2019.0,"10,237",Automatic,,,Black,19 cty / 27 hwy,Hybrid,AWD,Westmont,IL,L 3.0T,0 reported accidents,Standard,,"63,777"
3857,Honda,HR-V,2017.0,"15,920",Automatic,1.8L Inline-4 Gas,Crystal Black Pearl,Unknown,27 cty / 31 hwy,Gas,AWD,Glen Head,NY,LX AWD CVT,1 reported accidents,,,
3858,INFINITI,Q50,2015.0,"41,951",Automatic,3.5L V-6 Hybrid,Graphite Shadow,Graphite,28 cty / 35 hwy,Hybrid,AWD,Westmont,IL,Hybrid Premium AWD,0 reported accidents,,,"20,800"
3859,Ford,Focus,2015.0,"13,760",Automatic,2.0L Inline-4 Gas,Magnetic,Charcoal Black,26 cty / 36 hwy,Gas,FWD,Catonsville,MD,SE Sedan,0 reported accidents,,,
3860,Hyundai,Kona,2018.0,"18,710",Automatic,2.0L Inline-4 Gas,Thunder Gray,Black,27 cty / 33 hwy,Gas,FWD,Catonsville,MD,SE FWD Automatic,0 reported accidents,Fully Loaded,,"15,791"
3861,Nissan,Versa,2019.0,"17,282",Automatic,1.6L Inline-4 Gas,,Charcoal,31 cty / 39 hwy,Gas,FWD,Baton Rouge,LA,SV Sedan CVT,0 reported accidents,Fully Loaded,,"11,997"
3862,Honda,CR-V,2018.0,"15,994",Automatic,,White Diamond Pearl,Ivory,28 cty / 34 hwy,Gas,FWD,Baton Rouge,LA,Touring FWD,0 reported accidents,,,"27,447"
3863,Audi,Q7,2020.0,"1,902",Automatic,,,Saiga Beige,17 cty / 21 hwy,Hybrid,AWD,Baton Rouge,LA,Premium 3.0,0 reported accidents,,,"59,990"
3864,GMC Savana Cargo,Van,2019.0,"23,132",Automatic,6.0L V-8 Gas,,,N/A cty / N/A hwy,Gas,RWD,Prince George,VA,2500 SWB,0 reported accidents,Standard,,"26,374"
3865,Honda,CR-V,2017.0,"16,269",Automatic,,,Ivory,27 cty / 33 hwy,Gas,AWD,Cockeysville,MD,EX-L AWD,0 reported accidents,,,"25,478"
3866,Cadillac,ATS,2017.0,"13,227",Automatic,,,,22 cty / 30 hwy,Gas,AWD,Woodbridge,VA,Luxury Sedan 2.0T AWD,0 reported accidents,Well Equipped,,"21,000"
3867,Chevrolet,Equinox,2017.0,"1,158",Automatic,2.4L Inline-4 Gas,,Jet Black,21 cty / 31 hwy,Gas,FWD,Woodbridge,VA,LT with 1LT FWD,0 reported accidents,Well Equipped,,"17,000"
3868,Chevrolet,Malibu,2017.0,"18,833",Automatic,,Pepperdust Metallic,Jet Black,27 cty / 36 hwy,Gas,FWD,Woodbridge,VA,LT with 1LT,0 reported accidents,Minimal Options,,"17,500"
3869,Kia,Soul,2020.0,"7,684",Automatic,2.0L Inline-4 Gas,Gravity Gray,Black,27 cty / 33 hwy,Gas,FWD,Wilmington,NC,LX IVT,0 reported accidents,Minimal Options,,"16,777"
3870,Chevrolet,Traverse,2017.0,"35,202",Automatic,3.6L V-6 Gas,Silver Ice Metallic,Ebony,15 cty / 22 hwy,Gas,AWD,Columbus,OH,LT with 1LT AWD,0 reported accidents,Standard,,"19,854"
3871,Jeep Grand,Cherokee,2017.0,"27,190",Automatic,3.6L V-6 Gas,,,19 cty / 26 hwy,Gas,RWD,Lone Tree,CO,Limited RWD,0 reported accidents,Well Equipped,,"25,599"
3872,Kia,Soul,2015.0,"106,144",Automatic,1.6L Inline-4 Gas,Bright Silver,Black,24 cty / 30 hwy,Gas,FWD,Temecula,CA,Base Automatic,0 reported accidents,Well Equipped,,"6,639"
3873,Toyota,Camry,2002.0,"166,946",Automatic,2.4L Inline-4 Gas,Gray,Beige,23 cty / 32 hwy,Gas,FWD,Tacoma,WA,,2 reported accidents,Standard,,"3,999"
3874,Dodge Grand,Caravan,2019.0,"39,036",Automatic,3.6L V-6 Gas,,Black,17 cty / 25 hwy,Gas,FWD,Jacksonville,FL,SXT,0 reported accidents,Minimal Options,,"16,635"
3875,Ford,F-150,2017.0,"30,757",Automatic,5.0L V-8 Gas,Oxford White,Black,17 cty / 23 hwy,Gas,4WD,Exeter,NH,XL SuperCrew 5.5\' Box 4WD,0 reported accidents,Standard,Short Bed,"30,988"
3876,Toyota,Avalon,2017.0,"46,340",Automatic,3.5L V-6 Gas,,,21 cty / 30 hwy,Gas,FWD,Sioux Falls,SD,XLE,1 reported accidents,Standard,,"18,000"
3877,Ford,F-150,2015.0,"128,146",Automatic,2.7L V-6 Gas Turbocharged,Unknown,Medium Earth Gray,19 cty / 26 hwy,Gas,RWD,Waxahachie,TX,XL SuperCrew 6.5\' Box RWD,0 reported accidents,,Standard Bed,"15,991"
3878,Chevrolet,Traverse,2010.0,"143,286",Automatic,3.6L V-6 Gas,Silver Ice Metallic,Dk Gray/Lt Gray,17 cty / 24 hwy,Gas,FWD,Tempe,AZ,LS FWD,0 reported accidents,,,"5,899"
3879,Ford,Fusion,2019.0,"31,383",Automatic,2.0L Inline-4 Hybrid,Magnetic Metallic,Ebony,43 cty / 41 hwy,Hybrid,FWD,Littleton,CO,Hybrid SEL FWD,0 reported accidents,Standard,,"17,599"
3880,Volkswagen,Jetta,2017.0,"36,468",Automatic,,Pure White,,28 cty / 38 hwy,Gas,FWD,Glenview,IL,1.4T S Auto,0 reported accidents,Fully Loaded,,"11,980"
3881,Toyota,Corolla,2017.0,"9,587",Automatic,1.8L Inline-4 Gas,,Unknown,28 cty / 36 hwy,Gas,FWD,Baltimore,MD,LE CVT,0 reported accidents,Standard,,"13,999"
3882,Ford,Escape,2017.0,"43,262",Automatic,2.5L Inline-4 Gas,Oxford White,Charcoal Black,21 cty / 29 hwy,Gas,FWD,Marysville,OH,S FWD,0 reported accidents,Fully Loaded,,"13,471"
3883,Honda,Accord,2017.0,"45,251",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Black,27 cty / 36 hwy,Gas,FWD,Coral Springs,FL,LX Sedan CVT,0 reported accidents,,,"14,890"
3884,Toyota,Corolla,2010.0,"106,148",Automatic,1.8L Inline-4 Gas,Super White,Ash,26 cty / 34 hwy,Gas,FWD,Honolulu,HI,LE Automatic,0 reported accidents,Standard,,"6,995"
3885,Mercedes-Benz,M-Class,2006.0,"57,178",Automatic,3.5L V-6 Gas,Capri Blue Metallic,Black,16 cty / 20 hwy,Gas,4WD,Akron,OH,ML 350 4MATIC,1 reported accidents,Standard,,"8,900"
3886,Subaru,Outback,2017.0,"30,424",Automatic,2.5L Flat-4 Gas,Tungsten Metallic,Warm Ivory,25 cty / 32 hwy,Gas,AWD,Las Vegas,NV,2.5i Limited,0 reported accidents,Well Equipped,,"23,000"
